PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,JAN_PH_SUELO,FEB_PH_SUELO,MAR_PH_SUELO,APR_PH_SUELO,MAY_PH_SUELO,JUN_PH_SUELO,JUL_PH_SUELO,AUG_PH_SUELO,SEP_PH_SUELO,OCT_PH_SUELO,NOV_PH_SUELO,DEC_PH_SUELO
QV2M,2010,13.86,14.49,14.13,14.81,16.22,15.26,15.34,15.53,15.31,15.02,14.4,13.31,14.81,7.65,6.92,5.36,4.31,7.5,8.79,3.68,6.55,4.8,6.15,3.84,6.56
QV2M,2011,13.53,13.72,12.88,13.14,14.33,15.25,15.22,15.02,15.24,15.17,14.53,14.3,14.36,5.57,8.6,8.45,8.01,6.46,8.48,7.35,4.01,7.01,4.47,8.75,3.58
QV2M,2012,13.34,12.95,13.25,13.87,15.32,15.61,15.42,15.02,14.79,14.91,14.97,14.58,14.51,4.67,8.16,7.48,6.35,6.22,3.93,8.02,6.11,4.94,7.76,7.64,8.28
QV2M,2013,13.77,13.18,13.67,14.3,14.79,15.89,15.3,14.98,15.51,15.21,14.76,14.21,14.64,4.75,4.39,6.44,8.06,4.1,5.04,5.43,3.26,3.45,7.49,5.85,7.65
QV2M,2014,13.63,13.12,12.92,14.43,15.04,15.91,15.81,15.07,15.18,15.42,15.17,14.73,14.71,7.39,3.41,3.99,5.44,4.53,5.44,8.11,8.5,5.2,5.79,7.17,3.36
QV2M,2015,14.02,13.69,13.46,14.45,15.27,16.33,15.57,15.54,15.82,15.96,15.69,15.54,15.12,5.49,6.72,8.73,5.62,3.78,3.85,7.71,6.68,4.72,3.41,4.1,3.78
QV2M,2016,14.11,14.0,13.91,14.38,15.59,15.87,15.06,15.75,15.31,15.86,15.49,14.85,15.02,6.58,6.34,8.34,8.16,7.64,5.92,3.01,6.46,4.83,5.62,5.92,6.83
QV2M,2017,13.81,13.64,13.39,15.04,16.5,16.16,15.89,15.6,16.1,15.54,15.28,14.51,15.13,8.69,6.97,3.22,8.67,5.07,4.14,4.37,5.25,4.78,8.66,6.27,3.79
QV2M,2018,14.27,13.38,13.56,14.51,15.25,15.86,15.58,15.27,15.48,15.25,15.25,14.1,14.82,4.0,3.48,8.15,6.83,5.14,8.26,5.15,6.43,5.73,5.86,8.59,4.85
QV2M,2019,13.36,12.78,13.44,14.2,16.2,16.37,15.51,15.67,15.68,15.71,15.12,15.19,14.95,5.11,5.02,5.44,7.17,8.53,3.98,5.46,6.93,3.53,3.73,7.38,3.11
QV2M,2020,14.71,14.33,13.41,14.12,15.82,15.77,15.08,15.43,15.15,15.69,15.47,14.47,14.96,5.87,5.88,6.17,6.51,4.68,4.1,5.9,4.76,6.64,4.95,6.77,6.22
QV2M,2021,14.0,13.98,13.48,15.01,15.59,15.57,15.67,15.24,15.33,15.47,14.52,14.77,14.89,8.68,5.6,8.73,3.0,5.08,5.32,6.52,6.04,8.39,3.93,6.58,8.51
QV2M,2022,13.34,12.74,13.69,14.79,15.78,15.41,15.61,15.07,15.51,15.36,15.27,14.24,14.74,5.39,6.69,8.47,7.59,5.92,8.56,5.72,6.28,8.8,6.26,8.02,6.45
QV2M,2023,13.94,13.63,13.92,14.06,15.52,16.31,16.14,16.12,15.74,16.61,16.41,15.55,15.34,3.21,5.42,8.97,3.09,7.94,7.52,5.17,8.57,4.37,4.64,7.23,4.24
QV2M,2024,15.02,14.21,14.53,14.71,16.36,16.99,16.54,15.92,16.32,16.31,15.99,15.32,15.69,7.06,4.0,8.14,3.97,3.57,7.25,3.35,5.65,8.97,7.92,4.79,4.84
QV2M,2025,14.75,14.34,14.19,14.85,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.24,4.63,7.33,7.89,8.05,3.4,3.97,3.82,3.24,8.56,4.88,6.39
RH2M,1981,88.79,89.09,85.61,87.67,88.01,92.33,90.36,90.62,90.73,91.51,92.54,91.0,89.85,3.61,3.76,8.45,7.55,5.84,5.78,3.92,5.61,5.29,3.83,4.87,8.34
RH2M,1982,89.43,86.99,82.57,82.51,85.71,89.27,91.26,90.88,91.05,92.28,90.15,90.46,88.56,7.96,3.91,6.69,6.22,8.12,4.66,3.48,5.81,8.88,8.67,3.64,7.24
RH2M,1983,88.61,83.62,79.12,76.23,84.75,86.92,89.27,89.29,88.14,91.47,92.17,91.35,86.78,3.24,4.31,6.91,6.93,6.1,7.11,7.55,8.81,7.58,3.26,6.39,5.05
RH2M,1984,87.41,85.46,79.35,76.8,82.92,89.41,90.08,90.38,91.43,92.04,90.17,89.25,87.07,8.38,4.78,4.46,4.56,8.78,6.63,7.0,3.74,6.21,7.04,7.15,8.34
RH2M,1985,86.96,82.98,78.17,76.09,79.52,88.62,89.75,89.88,88.23,87.68,88.18,88.1,85.37,8.65,7.55,7.28,7.01,7.37,5.01,6.03,5.24,5.2,3.79,7.19,6.84
RH2M,1986,86.18,80.24,78.66,78.53,82.71,88.53,90.71,89.85,90.76,91.28,91.29,90.04,86.61,8.77,4.7,3.64,5.36,6.92,8.55,7.45,7.85,5.63,7.38,7.78,7.34
RH2M,1987,88.54,86.85,79.61,85.93,86.4,86.2,89.92,90.2,88.33,91.36,89.44,87.88,87.56,4.87,7.29,4.5,5.61,4.51,8.51,8.1,3.18,6.69,4.51,3.21,7.37
RH2M,1988,84.68,83.86,79.33,76.99,81.95,85.12,87.74,90.26,91.65,89.57,89.58,87.92,85.73,5.99,8.77,8.57,8.22,6.46,3.23,3.5,7.4,6.3,3.85,8.17,7.93
RH2M,1989,83.94,80.83,75.96,76.22,81.08,87.02,88.58,86.55,89.96,89.37,90.96,88.1,84.9,8.02,8.92,3.73,4.44,8.25,6.72,7.29,7.55,8.92,4.71,5.67,7.64
RH2M,1990,86.3,81.13,79.43,76.69,84.17,88.01,88.35,89.01,88.74,91.22,92.04,89.42,86.25,4.52,4.24,4.71,3.91,6.57,8.1,5.14,6.03,6.59,7.84,6.91,8.33
RH2M,1991,87.09,83.82,77.38,76.22,88.18,88.58,89.39,88.0,88.19,89.01,89.55,88.0,86.14,8.94,7.35,7.04,7.4,8.35,5.13,3.45,8.79,5.82,8.33,6.91,7.22
RH2M,1992,83.61,80.26,75.76,76.98,82.94,85.38,90.91,90.21,89.78,91.09,88.81,85.87,85.16,5.05,7.41,7.23,5.17,3.86,8.13,6.63,8.32,4.27,5.56,3.84,3.21
RH2M,1993,82.13,76.91,77.57,76.62,87.83,91.36,89.99,90.82,91.33,91.12,88.47,85.61,85.87,3.99,6.27,7.7,3.64,6.87,6.95,4.65,8.63,3.17,7.54,6.57,3.98
RH2M,1994,80.26,78.9,73.32,76.41,81.22,84.71,88.31,87.58,87.69,89.2,90.63,85.28,83.65,5.39,4.27,4.43,3.5,7.78,8.56,5.57,5.61,3.84,4.83,6.22,3.96
RH2M,1995,80.72,78.11,76.16,79.88,85.78,90.85,89.11,92.17,92.56,93.05,90.12,87.44,86.37,4.71,3.54,4.13,6.37,8.7,7.3,4.28,5.45,7.19,5.54,4.09,3.61
RH2M,1996,85.92,83.18,76.59,76.16,84.64,89.15,88.12,85.65,87.45,89.24,88.92,86.57,85.14,6.28,3.83,7.52,7.93,3.52,4.68,7.19,8.78,6.41,8.35,3.25,5.42
RH2M,1997,83.46,83.97,76.72,75.38,86.87,91.84,91.22,90.61,91.32,93.26,93.42,89.12,87.28,8.15,4.85,4.99,5.06,4.82,7.97,6.66,6.14,8.13,6.23,7.86,5.51
RH2M,1998,85.96,80.73,75.73,76.46,82.45,90.92,92.14,92.95,91.57,94.48,92.67,93.44,87.51,7.16,5.63,8.77,7.39,8.54,5.54,6.34,7.55,6.79,5.7,4.68,3.65
RH2M,1999,89.79,88.82,85.19,84.72,89.5,92.3,92.07,92.19,93.52,93.86,91.78,92.98,90.57,4.51,3.74,5.14,3.02,8.29,5.62,5.83,6.57,4.53,5.54,3.09,8.69
RH2M,2000,90.39,89.06,84.8,84.77,87.78,91.93,91.56,92.24,92.26,91.75,90.86,90.55,89.83,3.13,7.33,6.94,8.13,8.81,5.7,8.82,5.98,5.69,3.08,8.17,6.18
RH2M,2001,88.02,85.69,80.74,83.34,84.17,90.79,90.21,92.12,91.4,92.63,92.67,90.76,88.56,4.92,7.72,5.25,8.94,7.82,4.74,5.37,4.0,3.22,6.82,3.82,5.71
RH2M,2002,89.16,85.92,83.25,81.56,90.59,91.63,93.83,92.77,91.74,93.42,92.22,90.57,89.76,8.61,5.09,7.54,5.55,8.55,8.06,8.16,6.46,3.04,8.35,8.48,7.59
RH2M,2003,89.48,87.26,81.22,80.76,90.46,92.13,91.47,91.02,89.79,92.03,93.48,92.23,89.3,6.26,4.15,8.66,3.66,3.6,8.26,7.43,3.07,7.54,4.86,3.0,6.36
RH2M,2004,88.03,85.99,85.7,81.37,89.81,90.95,90.82,90.78,89.9,90.89,92.47,91.37,89.03,6.01,8.22,5.95,6.71,4.74,4.73,3.5,4.08,5.52,3.56,3.77,6.5
RH2M,2005,91.77,88.51,85.4,85.99,89.55,93.36,91.62,92.32,93.82,94.36,92.86,89.21,90.74,8.64,5.76,5.11,3.21,3.91,8.14,5.76,5.41,7.42,4.24,7.53,5.17
RH2M,2006,91.18,87.91,86.93,83.7,88.69,91.76,93.01,91.07,89.84,90.78,92.86,91.77,89.98,8.74,3.44,3.32,8.53,4.98,3.09,6.1,3.13,6.47,7.15,3.46,5.97
RH2M,2007,89.84,83.94,82.31,83.51,90.24,91.15,91.38,91.31,91.33,93.23,94.14,91.4,89.52,6.63,5.69,7.33,3.15,6.87,5.58,6.72,7.77,6.55,5.04,3.03,6.44
RH2M,2008,89.54,87.96,83.96,84.5,87.18,92.23,92.58,91.62,90.43,93.62,92.71,90.29,89.73,6.55,4.32,7.19,5.92,8.49,5.6,6.2,3.92,4.61,6.5,6.87,5.55
RH2M,2009,89.06,87.89,86.62,81.9,85.64,91.34,91.29,90.92,88.78,92.85,91.88,89.56,88.99,6.49,7.15,7.18,8.09,3.17,4.35,3.02,5.26,3.39,7.29,7.73,4.38
RH2M,2010,88.51,87.4,83.92,82.68,90.07,89.9,90.1,91.94,91.87,91.56,92.29,90.79,89.27,7.04,4.47,6.78,3.44,7.12,6.32,7.65,7.76,6.66,8.71,8.6,3.7
RH2M,2011,89.29,88.61,83.23,79.61,80.84,88.15,90.92,88.92,90.33,93.43,91.93,92.65,88.16,7.6,3.02,6.1,7.05,7.58,4.05,4.71,3.57,3.85,8.71,8.18,7.72
RH2M,2012,89.48,86.77,84.72,83.37,86.78,89.09,91.86,89.87,89.93,90.96,92.55,91.08,88.88,5.42,8.26,6.82,4.86,3.65,7.24,5.48,8.2,3.05,6.75,6.81,8.59
RH2M,2013,88.19,85.65,84.4,84.37,87.17,92.33,92.14,90.42,90.77,92.04,90.96,90.61,89.11,6.96,7.61,7.58,8.01,5.01,8.91,7.18,7.97,4.02,4.24,6.82,5.65
RH2M,2014,89.43,86.58,80.87,85.09,86.87,91.54,93.13,91.03,91.19,92.34,93.04,92.94,89.52,7.43,3.71,6.12,7.18,7.28,7.07,3.99,6.74,8.47,7.5,8.86,4.7
RH2M,2015,90.67,89.37,86.31,85.46,89.03,92.44,92.27,90.63,92.01,91.34,92.71,91.26,90.3,3.16,5.76,7.45,5.41,5.49,7.5,6.9,4.53,4.6,7.53,8.2,8.5
RH2M,2016,88.75,88.27,81.08,80.55,85.09,91.43,90.84,90.94,90.57,93.16,93.65,93.04,88.95,7.77,5.82,6.84,4.62,4.44,7.97,4.89,7.05,8.78,5.16,3.34,8.42
RH2M,2017,89.49,87.23,84.18,85.89,92.91,92.31,92.54,90.62,92.67,91.43,92.08,91.82,90.28,5.49,5.75,8.92,8.38,7.52,3.7,3.51,6.15,3.94,7.38,5.29,5.07
RH2M,2018,93.54,89.28,87.15,87.2,88.69,92.7,93.03,91.73,90.55,91.98,91.26,89.8,90.59,8.09,8.73,3.38,6.16,8.8,3.47,3.31,7.91,3.23,5.82,4.06,6.27
RH2M,2019,87.04,80.66,83.69,82.1,91.47,91.58,91.08,91.24,91.37,93.36,91.56,91.88,88.98,3.02,7.87,7.28,5.98,4.66,3.55,5.03,7.8,6.12,6.74,5.57,3.93
RH2M,2020,90.99,89.05,83.52,83.35,88.7,91.46,90.94,90.98,89.58,92.39,92.52,91.87,89.62,4.72,3.58,3.38,5.98,6.91,7.17,4.93,3.55,7.5,6.53,8.33,8.98
RH2M,2021,90.49,87.9,85.54,88.86,91.07,90.93,91.44,91.23,90.36,90.83,90.33,91.61,90.07,3.13,3.37,6.31,8.01,3.67,5.91,3.56,3.45,7.19,3.24,8.06,7.23
RH2M,2022,87.92,84.07,84.93,87.36,90.6,92.94,92.15,89.93,91.01,91.46,92.97,90.88,89.72,4.54,7.85,4.18,8.13,3.41,6.17,4.54,6.36,8.16,3.76,5.86,8.79
RH2M,2023,90.2,88.15,87.55,83.38,85.51,90.52,91.8,90.84,88.68,92.57,93.77,91.62,89.57,8.32,4.64,6.2,8.04,4.17,4.92,6.04,3.62,6.38,4.38,3.17,7.63
RH2M,2024,89.62,87.47,81.79,83.24,87.56,92.91,93.1,90.32,91.03,93.06,94.04,93.15,89.78,4.34,5.47,8.28,5.8,7.55,6.2,8.61,6.03,6.12,8.81,7.6,8.66
RH2M,2025,91.29,88.61,84.79,87.64,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.9,3.96,4.58,5.45,3.58,3.39,8.09,8.03,3.71,6.67,6.87,5.27
T2M,1981,18.52,19.25,20.05,20.51,20.99,20.26,19.62,19.75,19.79,19.57,19.57,19.4,19.77,7.32,4.02,8.83,3.61,7.93,6.55,8.64,8.38,7.5,4.52,6.24,8.4
T2M,1982,18.61,19.02,19.36,20.13,20.81,20.61,19.66,19.81,19.89,19.29,19.64,19.45,19.69,8.26,4.17,6.69,6.27,4.58,3.28,7.94,6.05,7.04,3.05,6.84,4.49
T2M,1983,19.84,20.24,21.37,21.72,21.64,21.04,20.46,19.96,19.76,19.34,19.89,19.27,20.38,5.25,8.24,7.21,6.2,8.74,5.75,4.72,6.91,4.68,7.72,5.19,4.11
T2M,1984,18.75,19.53,20.35,20.86,21.03,19.78,19.43,19.78,19.61,19.67,18.91,19.01,19.73,8.04,3.21,5.48,8.15,7.39,6.27,7.46,8.11,8.51,4.69,8.05,3.89
T2M,1985,18.1,18.98,19.8,20.66,21.08,19.88,19.15,19.22,19.53,19.59,19.65,19.18,19.57,3.9,8.95,5.22,5.19,4.82,8.36,7.15,6.23,4.53,3.2,7.3,8.15
T2M,1986,18.62,19.1,19.65,21.16,21.32,20.16,19.35,19.42,19.72,19.42,19.51,19.23,19.72,4.26,5.07,5.46,4.75,5.81,3.69,4.0,3.64,5.68,5.39,5.29,6.08
T2M,1987,18.74,19.71,21.02,20.62,20.9,20.54,20.16,19.67,20.22,20.22,20.13,20.08,20.17,4.28,8.45,7.28,4.85,8.27,8.14,3.76,4.83,4.18,3.1,7.56,4.94
T2M,1988,19.61,19.87,20.28,21.21,21.61,20.47,19.9,19.96,19.84,19.7,19.7,19.32,20.12,3.42,7.02,8.9,5.97,7.37,3.19,7.46,4.34,4.11,6.61,5.81,8.28
T2M,1989,19.39,18.78,19.5,21.06,21.32,20.42,19.83,20.08,19.97,19.87,20.12,19.03,19.95,4.6,8.3,4.71,3.75,4.28,5.98,6.13,5.53,8.45,7.08,5.77,7.22
T2M,1990,19.55,19.24,20.08,21.12,21.31,20.65,19.91,20.19,19.93,20.01,20.01,19.36,20.12,7.96,5.5,6.49,8.9,8.18,3.9,7.9,4.05,3.85,3.57,6.05,8.34
T2M,1991,18.93,19.06,20.51,21.4,21.02,20.63,20.1,19.94,20.06,19.79,19.52,19.13,20.01,5.9,3.29,5.81,4.58,8.39,3.11,4.16,5.0,5.1,6.14,8.01,7.16
T2M,1992,19.24,19.85,20.52,21.61,21.39,21.55,19.84,19.93,20.06,19.79,19.87,19.66,20.27,5.99,4.73,6.63,8.17,8.39,3.62,8.78,7.42,6.41,7.01,7.26,5.4
T2M,1993,19.8,19.82,20.43,21.81,21.29,20.81,20.15,20.21,19.81,20.09,19.85,19.67,20.31,4.03,4.33,4.99,4.55,7.88,7.91,6.02,5.82,8.85,8.0,3.56,3.57
T2M,1994,19.28,19.74,20.48,21.12,21.73,21.05,20.44,20.39,20.64,20.18,19.99,19.63,20.39,4.3,8.67,8.92,5.07,5.81,7.81,7.43,8.53,4.56,8.71,7.35,4.02
T2M,1995,19.62,19.94,20.91,21.86,21.16,20.9,20.27,20.52,20.2,20.35,20.04,19.37,20.43,6.16,5.71,4.36,6.43,7.47,4.91,7.31,3.24,5.49,8.25,5.28,8.67
T2M,1996,18.95,19.42,20.51,21.22,21.39,20.83,20.42,20.14,20.66,20.53,20.13,19.43,20.3,3.21,5.6,8.07,8.4,8.71,3.4,3.18,5.71,8.76,6.17,3.97,6.06
T2M,1997,18.76,19.88,19.96,21.29,20.75,20.58,20.81,20.56,20.61,20.61,20.3,19.41,20.29,8.96,8.15,3.52,7.76,4.2,5.3,8.54,6.12,7.85,6.51,6.71,3.79
T2M,1998,19.47,21.35,21.76,22.2,22.12,21.12,20.46,20.37,20.81,20.63,19.94,19.54,20.81,3.37,3.84,6.25,4.39,8.1,6.61,8.27,6.97,7.27,5.19,8.22,7.54
T2M,1999,18.8,18.62,19.1,20.06,20.4,19.92,19.77,19.82,19.89,19.73,19.48,18.79,19.54,7.78,4.45,8.57,4.37,5.66,4.98,6.32,8.98,6.23,7.69,8.55,8.11
T2M,2000,18.17,18.26,19.12,19.96,20.83,20.15,19.72,19.85,20.05,19.72,19.72,19.06,19.55,7.55,8.14,8.09,7.08,3.47,3.75,7.15,3.52,6.56,8.43,7.97,6.28
T2M,2001,18.5,18.63,19.73,20.31,21.2,20.58,20.03,20.68,20.07,20.49,19.79,19.96,20.01,5.83,5.94,4.53,5.9,6.26,3.8,6.06,3.66,8.33,5.23,6.92,4.75
T2M,2002,19.18,19.11,19.73,20.16,20.97,20.97,20.31,20.14,20.52,20.16,19.9,19.24,20.04,6.62,7.05,4.65,5.85,4.12,4.2,5.59,4.81,8.85,7.1,8.39,7.61
T2M,2003,19.06,19.33,20.44,21.07,21.11,20.59,20.32,20.38,20.59,20.65,20.03,19.45,20.26,8.21,4.99,3.45,6.38,8.5,7.12,7.46,4.24,4.15,6.24,6.91,4.0
T2M,2004,19.14,19.49,19.86,21.32,21.02,20.65,20.06,20.62,20.58,20.46,19.77,19.32,20.19,3.65,5.79,3.33,5.44,6.86,3.79,8.6,8.65,4.03,5.53,6.58,6.76
T2M,2005,18.81,18.42,20.48,20.78,21.33,21.24,20.87,20.41,20.29,20.36,19.69,18.94,20.15,6.51,6.77,3.7,4.75,3.82,6.9,4.99,5.2,5.95,5.37,3.04,5.47
T2M,2006,19.09,18.68,19.31,20.35,20.84,20.65,20.53,20.51,20.43,20.69,19.68,19.8,20.06,5.92,7.02,4.44,3.41,7.02,5.38,7.49,3.46,7.81,6.28,4.31,4.62
T2M,2007,19.28,19.26,20.09,21.05,21.02,20.78,20.09,20.35,20.38,20.16,19.83,19.14,20.12,8.37,7.88,3.97,3.89,7.08,4.7,5.04,8.03,3.41,7.6,4.53,8.73
T2M,2008,18.46,18.6,19.25,20.21,20.69,20.51,19.92,20.29,20.56,20.19,19.88,19.32,19.82,4.87,5.64,8.25,4.59,3.57,6.27,7.2,5.99,8.57,7.31,8.97,4.37
T2M,2009,19.01,18.83,18.92,20.45,21.31,20.9,20.7,20.52,20.9,20.57,20.19,19.97,20.2,3.2,8.05,7.79,4.8,3.47,5.23,7.41,3.87,5.29,8.69,8.8,4.11
T2M,2010,19.43,20.36,20.73,21.83,21.66,20.69,20.73,20.58,20.36,20.1,19.28,18.32,20.34,6.89,4.09,4.84,5.06,8.51,7.03,4.44,6.19,6.46,4.14,7.18,7.88
T2M,2011,18.88,19.27,19.42,20.62,21.73,21.06,20.43,20.64,20.58,19.9,19.51,19.13,20.1,6.98,8.34,6.43,3.07,3.85,3.31,5.54,6.45,6.55,6.01,8.38,6.25
T2M,2012,18.66,18.74,19.56,20.64,21.44,21.24,20.47,20.44,20.19,20.1,19.88,19.73,20.09,6.43,5.36,3.09,3.39,4.03,6.79,6.46,5.58,8.26,8.22,3.39,8.46
T2M,2013,19.41,19.27,20.17,20.9,20.8,20.85,20.3,20.29,20.78,20.18,19.94,19.41,20.19,8.14,8.6,7.25,3.31,3.04,3.73,7.17,5.96,3.31,6.86,6.41,8.27
T2M,2014,19.0,19.01,20.09,20.87,21.16,21.04,20.65,20.28,20.35,20.38,19.98,19.53,20.2,5.01,5.68,3.54,5.54,6.5,5.38,5.67,3.26,7.82,6.29,5.48,5.5
T2M,2015,19.2,19.11,19.49,20.8,20.93,21.3,20.57,20.86,20.85,21.14,20.57,20.72,20.47,3.41,5.21,7.84,6.1,4.78,7.67,7.88,8.89,4.08,3.79,5.46,6.59
T2M,2016,19.67,19.68,21.29,21.93,22.14,21.03,20.29,21.01,20.64,20.67,20.18,19.65,20.68,6.71,6.49,3.76,4.27,8.7,8.11,4.25,7.75,7.28,4.65,8.07,4.29
T2M,2017,19.19,19.47,19.94,21.35,21.38,21.14,20.84,20.91,21.01,20.67,20.27,19.5,20.48,6.3,8.05,3.2,7.68,4.38,3.12,8.72,4.36,6.25,3.82,5.24,6.3
T2M,2018,18.94,18.76,19.41,20.53,21.0,20.76,20.43,20.37,20.8,20.3,20.43,19.47,20.11,8.63,4.28,8.76,7.76,3.75,4.76,3.18,6.97,7.23,5.6,8.14,3.37
T2M,2019,19.2,19.99,20.14,21.37,21.38,21.52,20.73,20.87,20.84,20.47,20.22,20.23,20.58,8.48,3.61,3.09,5.26,6.86,7.24,8.24,6.81,4.84,6.25,4.25,6.59
T2M,2020,19.93,19.9,20.1,20.97,21.55,20.91,20.28,20.66,20.6,20.64,20.39,19.48,20.45,7.25,7.56,7.73,3.49,7.38,5.19,4.78,5.83,7.72,7.77,7.86,7.37
T2M,2021,19.21,19.7,19.69,20.68,20.85,20.84,20.84,20.42,20.69,20.73,19.84,19.86,20.28,7.36,5.98,5.19,5.52,5.63,3.94,3.65,6.29,4.83,3.64,6.92,3.88
T2M,2022,18.99,19.11,20.12,20.8,21.11,20.24,20.62,20.49,20.74,20.49,20.09,19.42,20.19,5.18,6.18,4.58,6.48,6.68,4.14,3.07,7.04,4.58,6.79,3.83,6.07
T2M,2023,19.22,19.29,19.78,20.89,21.93,21.64,21.23,21.4,21.45,21.52,21.08,20.66,20.85,8.65,4.17,3.13,6.17,3.87,7.58,7.04,5.94,6.87,5.93,3.73,6.08
T2M,2024,20.49,20.06,21.74,21.64,22.37,21.82,21.36,21.32,21.56,21.15,20.64,20.12,21.19,6.93,5.24,5.12,5.42,6.35,6.56,4.81,5.72,4.59,7.09,8.79,8.46
T2M,2025,19.89,19.99,20.68,20.78,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.64,7.62,5.14,6.64,8.63,6.47,6.91,3.71,7.14,3.53,6.44,5.21
T2M_MAX,1981,23.9,24.29,27.35,26.39,27.09,25.68,25.1,26.52,25.94,25.27,24.98,24.22,27.35,8.16,3.54,7.43,7.42,5.2,4.94,7.5,7.64,4.52,4.85,4.16,6.34
T2M_MAX,1982,24.54,24.57,26.71,27.46,27.8,26.94,24.56,25.21,25.27,24.2,24.83,25.02,27.8,6.44,3.36,6.14,7.33,8.7,4.0,4.21,7.26,7.01,8.42,7.44,7.42
T2M_MAX,1983,26.13,28.61,30.75,31.09,28.2,27.26,26.33,25.36,26.0,25.0,24.97,24.19,31.09,5.0,8.51,3.67,8.95,8.45,3.99,3.49,5.0,5.3,8.34,4.01,4.89
T2M_MAX,1984,23.68,26.75,29.1,29.38,28.3,25.76,24.92,24.96,25.23,25.1,23.97,23.51,29.38,5.14,7.51,3.54,8.99,3.46,3.74,6.72,6.99,4.42,7.82,8.14,6.17
T2M_MAX,1985,23.45,24.81,29.14,29.95,29.84,26.37,24.49,25.31,26.07,25.91,25.14,24.95,29.95,4.07,4.56,4.48,3.93,6.67,7.61,3.99,4.58,7.32,7.34,8.41,7.17
T2M_MAX,1986,23.79,26.47,28.38,29.79,30.47,27.03,24.77,25.3,25.91,25.11,24.74,24.34,30.47,6.97,3.99,6.42,4.84,3.81,8.59,7.3,5.61,4.45,8.76,4.95,7.04
T2M_MAX,1987,24.2,25.99,31.03,27.01,27.66,27.39,25.32,25.17,26.64,25.52,25.33,25.75,31.03,6.26,5.86,4.5,3.17,7.27,6.49,5.76,8.96,6.04,5.17,3.48,6.8
T2M_MAX,1988,25.36,28.06,28.2,29.86,29.42,28.24,27.0,25.48,25.62,25.19,25.53,24.07,29.86,8.0,4.57,3.7,7.2,5.95,7.9,6.54,5.87,3.23,5.49,8.31,3.23
T2M_MAX,1989,24.62,27.01,28.33,29.23,29.11,26.96,25.95,26.12,25.63,25.41,25.6,24.7,29.23,7.67,4.24,4.69,5.17,3.97,3.59,6.07,5.34,4.86,8.88,8.08,3.35
T2M_MAX,1990,24.95,26.75,28.77,29.64,28.45,27.56,26.24,25.57,26.07,26.13,24.75,25.2,29.64,7.37,7.24,4.9,3.4,4.15,5.0,7.98,8.72,7.3,6.45,6.63,4.03
T2M_MAX,1991,24.22,26.19,28.83,31.26,27.23,26.46,25.53,25.73,25.96,25.53,25.28,25.24,31.26,4.16,5.73,8.11,7.01,7.71,7.68,7.21,8.68,4.96,7.36,7.37,3.53
T2M_MAX,1992,24.89,29.24,29.95,31.69,28.72,29.1,25.51,25.33,25.82,25.76,25.47,25.26,31.69,5.54,7.97,4.57,3.27,6.62,3.41,3.58,4.11,3.63,5.03,8.52,3.42
T2M_MAX,1993,27.21,28.41,29.17,30.75,28.8,25.4,25.17,25.05,25.14,25.54,25.3,24.84,30.75,8.14,7.11,8.12,8.01,5.02,6.69,3.81,8.04,3.28,4.52,4.83,8.69
T2M_MAX,1994,26.14,27.89,28.92,29.67,30.09,28.2,25.62,26.19,26.77,26.48,26.31,25.16,30.09,7.12,3.94,8.73,8.04,6.07,5.61,8.31,3.16,8.6,6.23,5.81,4.02
T2M_MAX,1995,26.49,28.01,29.32,31.39,28.52,26.85,26.19,26.07,25.04,25.74,24.94,25.32,31.39,5.79,8.05,3.28,8.66,6.83,8.55,3.71,6.35,8.87,5.36,8.88,8.45
T2M_MAX,1996,24.78,26.71,30.36,29.45,28.91,26.49,26.22,27.41,27.19,26.03,26.35,24.17,30.36,6.42,5.74,5.97,8.04,8.58,5.51,6.91,7.88,3.92,7.03,6.54,3.09
T2M_MAX,1997,24.92,26.41,28.85,29.36,28.18,27.73,25.12,26.64,26.0,25.7,25.79,24.79,29.36,4.43,3.36,3.59,3.75,4.73,6.92,6.9,3.88,3.57,3.71,8.65,4.55
T2M_MAX,1998,26.32,29.92,31.29,31.78,31.12,26.66,25.86,25.06,26.21,25.25,25.19,24.06,31.78,5.24,8.56,5.29,4.31,8.47,6.91,7.66,6.65,7.81,7.83,8.5,4.62
T2M_MAX,1999,24.21,23.93,25.86,26.91,25.79,25.41,24.82,25.65,24.54,24.49,25.14,23.39,26.91,8.74,7.58,5.65,8.85,6.33,5.29,8.48,5.79,6.36,6.03,3.76,4.42
T2M_MAX,2000,23.99,23.37,26.65,26.48,27.32,25.61,24.54,24.41,25.17,25.3,25.31,24.15,27.32,6.14,7.11,3.45,3.72,4.83,7.04,5.54,8.14,4.58,8.14,3.75,3.71
T2M_MAX,2001,23.89,24.28,29.46,28.02,28.91,25.32,25.52,26.32,25.44,25.54,25.53,24.9,29.46,8.67,7.09,6.83,4.62,4.04,8.52,4.4,7.52,4.66,4.15,8.17,4.24
